產業別,股票代碼,股票名稱,市場別,更新日期
化學工業,1717,長興,twse,2021-05-17
化學生技醫療,1717,長興,twse,2021-05-17
化學工業,1718,中纖,twse,2021-05-17
化學生技醫療,1718,中纖,twse,2021-05-17
化學生技醫療,1720,生達,twse,2021-05-17
生技醫療業,1720,生達,twse,2021-05-17
化學工業,1721,三晃,twse,2021-05-17
化學生技醫療,1721,三晃,twse,2021-05-17
化學工業,1722,台肥,twse,2021-05-17
化學生技醫療,1722,台肥,twse,2021-05-17
化學工業,1723,中碳,twse,2021-05-17
化學生技醫療,1723,中碳,twse,2021-05-17
化學工業,1724,台硝,twse,2021-05-17
化學生技醫療,1724,台硝,twse,2021-05-17
化學工業,1725,元禎,twse,2021-05-17
化學生技醫療,1725,元禎,twse,2021-05-17
化學工業,1726,永記,twse,2021-05-17
化學生技醫療,1726,永記,twse,2021-05-17
化學工業,1727,中華化,twse,2021-05-17
化學生技醫療,1727,中華化,twse,2021-05-17
化學生技醫療,1729,必翔,twse,2021-05-17
生技醫療業,1729,必翔,twse,2021-05-17
化學工業,1730,花仙子,twse,2021-05-17
化學生技醫療,1730,花仙子,twse,2021-05-17
化學生技醫療,1731,美吾華,twse,2021-05-17
生技醫療業,1731,美吾華,twse,2021-05-17
化學工業,1732,毛寶,twse,2021-05-17
化學生技醫療,1732,毛寶,twse,2021-05-17
化學生技醫療,1733,五鼎,twse,2021-05-17
生技醫療業,1733,五鼎,twse,2021-05-17
化學生技醫療,1734,杏輝,twse,2021-05-17
生技醫療業,1734,杏輝,twse,2021-05-17
化學工業,1735,日勝化,twse,2021-05-17
化學生技醫療,1735,日勝化,twse,2021-05-17
化學生技醫療,1736,喬山,twse,2021-05-17
生技醫療業,1736,喬山,twse,2021-05-17
食品工業,1737,臺鹽,twse,2021-05-17
化學工業,1742,台蠟,tpex,2021-05-17
生技醫療類,1752,南光,tpex,2021-05-17
化學生技醫療,1760,寶齡富錦,twse,2021-05-17
生技醫療業,1760,寶齡富錦,twse,2021-05-17
化學生技醫療,1762,中化生,twse,2021-05-17
生技醫療業,1762,中化生,twse,2021-05-17
化學工業,1773,勝一,twse,2021-05-17
化學生技醫療,1773,勝一,twse,2021-05-17
化學工業,1776,展宇,twse,2021-05-17
化學生技醫療,1776,展宇,twse,2021-05-17
生技醫療類,1777,生泰,tpex,2021-05-17
生技醫療類,1781,合世,tpex,2021-05-17
化學生技醫療,1783,和康生,twse,2021-05-17
生技醫療業,1783,和康生,twse,2021-05-17
生技醫療類,1784,訊聯,tpex,2021-05-17
其他電子類,1785,光洋科,tpex,2021-05-17
化學生技醫療,1786,科妍,twse,2021-05-17
生技醫療業,1786,科妍,twse,2021-05-17
生技醫療類,1788,杏昌,tpex,2021-05-17
化學生技醫療,1789,神隆,twse,2021-05-17
生技醫療業,1789,神隆,twse,2021-05-17
化學生技醫療,1795,美時,twse,2021-05-17
生技醫療業,1795,美時,twse,2021-05-17
食品工業,1796,金穎生技,tpex,2021-05-17
生技醫療類,1799,易威,tpex,2021-05-17
玻璃陶瓷,1802,台玻,twse,2021-05-17
建材營造,1805,寶徠,twse,2021-05-17
玻璃陶瓷,1806,冠軍,twse,2021-05-17
建材營造,1808,潤隆,twse,2021-05-17
玻璃陶瓷,1809,中釉,twse,2021-05-17
玻璃陶瓷,1810,和成,twse,2021-05-17
生技醫療類,1813,寶利徠,tpex,2021-05-17
電子零組件類,1815,富喬,tpex,2021-05-17
玻璃陶瓷,1817,凱撒衛,twse,2021-05-17
造紙工業,1902,台紙,twse,2021-05-17
造紙工業,1903,士紙,twse,2021-05-17
造紙工業,1904,正隆,twse,2021-05-17
造紙工業,1905,華紙,twse,2021-05-17
造紙工業,1906,寶隆,twse,2021-05-17
造紙工業,1907,永豐餘,twse,2021-05-17
造紙工業,1909,榮成,twse,2021-05-17
鋼鐵工業,2002,中鋼,twse,2021-05-17
鋼鐵工業,2002A,中鋼特,twse,2021-05-17
鋼鐵工業,2006,東和鋼鐵,twse,2021-05-17
鋼鐵工業,2007,燁興,twse,2021-05-17
鋼鐵工業,2008,高興昌,twse,2021-05-17
鋼鐵工業,2009,第一銅,twse,2021-05-17
鋼鐵工業,2010,春源,twse,2021-05-17
鋼鐵工業,2012,春雨,twse,2021-05-17
鋼鐵工業,2013,中鋼構,twse,2021-05-17
鋼鐵工業,2014,中鴻,twse,2021-05-17
鋼鐵工業,2015,豐興,twse,2021-05-17
鋼鐵工業,2017,官田鋼,twse,2021-05-17
鋼鐵工業,2020,美亞,twse,2021-05-17
鋼鐵工業,2022,聚亨,twse,2021-05-17
鋼鐵工業,2023,燁輝,twse,2021-05-17
鋼鐵工業,2024,志聯,twse,2021-05-17
鋼鐵工業,2025,千興,twse,2021-05-17
鋼鐵工業,2027,大成鋼,twse,2021-05-17
鋼鐵工業,2028,威致,twse,2021-05-17
鋼鐵工業,2029,盛餘,twse,2021-05-17
鋼鐵工業,2030,彰源,twse,2021-05-17
鋼鐵工業,2031,新光鋼,twse,2021-05-17
鋼鐵工業,2032,新鋼,twse,2021-05-17
鋼鐵工業,2033,佳大,twse,2021-05-17
鋼鐵工業,2034,允強,twse,2021-05-17
鋼鐵工業,2035,唐榮,tpex,2021-05-17
鋼鐵工業,2038,海光,twse,2021-05-17
電機機械,2049,上銀,twse,2021-05-17
電子工業,2059,川湖,twse,2021-05-17
電子零組件業,2059,川湖,twse,2021-05-17
電器電纜,2061,風青,tpex,2021-05-17
其他,2062,橋椿,twse,2021-05-17
鋼鐵工業,2063,世鎧,tpex,2021-05-17
鋼鐵工業,2064,晉椿,tpex,2021-05-17
鋼鐵工業,2065,世豐,tpex,2021-05-17
電機機械,2066,世德,tpex,2021-05-17
電機機械,2067,嘉鋼,tpex,2021-05-17
鋼鐵工業,2069,運錩,twse,2021-05-17
電機機械,2070,精湛,tpex,2021-05-17
橡膠工業,2101,南港,twse,2021-05-17
橡膠工業,2102,泰豐,twse,2021-05-17
橡膠工業,2103,台橡,twse,2021-05-17
橡膠工業,2104,國際中橡,twse,2021-05-17
橡膠工業,2105,正新,twse,2021-05-17
橡膠工業,2106,建大,twse,2021-05-17
橡膠工業,2107,厚生,twse,2021-05-17
橡膠工業,2108,南帝,twse,2021-05-17
橡膠工業,2109,華豐,twse,2021-05-17
橡膠工業,2114,鑫永銓,twse,2021-05-17
汽車工業,2115,六暉-KY,twse,2021-05-17
汽車工業,2201,裕隆,twse,2021-05-17
汽車工業,2204,中華,twse,2021-05-17
汽車工業,2206,三陽工業,twse,2021-05-17
汽車工業,2207,和泰車,twse,2021-05-17
航運業,2208,台船,twse,2021-05-17
鋼鐵工業,2211,長榮鋼,twse,2021-05-17
其他,2221,大甲,tpex,2021-05-17
汽車工業,2227,裕日車,twse,2021-05-17
汽車工業,2228,劍麟,twse,2021-05-17
電機機械,2230,泰茂,tpex,2021-05-17
汽車工業,2231,為升,twse,2021-05-17
汽車工業,2233,宇隆,twse,2021-05-17
電機機械,2235,謚源,tpex,2021-05-17
汽車工業,2236,百達-KY,twse,2021-05-17
汽車工業,2239,英利-KY,twse,2021-05-17
電機機械,2241,艾姆勒,twse,2021-05-17
汽車工業,2243,宏旭-KY,twse,2021-05-17
汽車工業,2247,汎德永業,twse,2021-05-17
電子工業,2301,光寶科,twse,2021-05-17
電腦及週邊設備業,2301,光寶科,twse,2021-05-17
半導體業,2302,麗正,twse,2021-05-17
電子工業,2302,麗正,twse,2021-05-17
半導體業,2303,聯電,twse,2021-05-17
電子工業,2303,聯電,twse,2021-05-17
電子工業,2305,全友,twse,2021-05-17
電腦及週邊設備業,2305,全友,twse,2021-05-17
電子工業,2308,台達電,twse,2021-05-17
電子零組件業,2308,台達電,twse,2021-05-17
半導體業,2311,日月光,twse,2021-05-17
電子工業,2311,日月光,twse,2021-05-17
其他電子業,2312,金寶,twse,2021-05-17
電子工業,2312,金寶,twse,2021-05-17
電子工業,2313,華通,twse,2021-05-17
電子零組件業,2313,華通,twse,2021-05-17
通信網路業,2314,台揚,twse,2021-05-17
電子工業,2314,台揚,twse,2021-05-17
電子工業,2315,神達,twse,2021-05-17
電腦及週邊設備業,2315,神達,twse,2021-05-17
電子工業,2316,楠梓電,twse,2021-05-17
電子零組件業,2316,楠梓電,twse,2021-05-17
其他電子業,2317,鴻海,twse,2021-05-17
電子工業,2317,鴻海,twse,2021-05-17
通信網路業,2321,東訊,twse,2021-05-17
電子工業,2321,東訊,twse,2021-05-17
光電業,2323,中環,twse,2021-05-17
電子工業,2323,中環,twse,2021-05-17
電子工業,2324,仁寶,twse,2021-05-17
電腦及週邊設備業,2324,仁寶,twse,2021-05-17
半導體業,2325,矽品,twse,2021-05-17
電子工業,2325,矽品,twse,2021-05-17
電子工業,2327,國巨,twse,2021-05-17
電子零組件業,2327,國巨,twse,2021-05-17
電子工業,2328,廣宇,twse,2021-05-17
電子零組件業,2328,廣宇,twse,2021-05-17
半導體業,2329,華泰,twse,2021-05-17
電子工業,2329,華泰,twse,2021-05-17
半導體業,2330,台積電,twse,2021-05-17
電子工業,2330,台積電,twse,2021-05-17
電子工業,2331,精英,twse,2021-05-17
電腦及週邊設備業,2331,精英,twse,2021-05-17
通信網路業,2332,友訊,twse,2021-05-17
電子工業,2332,友訊,twse,2021-05-17
電子工業,2336,致伸,twse,2021-05-17
電腦及週邊設備業,2336,致伸,twse,2021-05-17
半導體業,2337,旺宏,twse,2021-05-17
電子工業,2337,旺宏,twse,2021-05-17
半導體業,2338,光罩,twse,2021-05-17
電子工業,2338,光罩,twse,2021-05-17
光電業,2340,光磊,twse,2021-05-17
電子工業,2340,光磊,twse,2021-05-17
電子工業,2341,英群,twse,2021-05-17
電腦及週邊設備業,2341,英群,twse,2021-05-17
半導體業,2342,茂矽,twse,2021-05-17
電子工業,2342,茂矽,twse,2021-05-17
半導體業,2344,華邦電,twse,2021-05-17
電子工業,2344,華邦電,twse,2021-05-17
通信網路業,2345,智邦,twse,2021-05-17
電子工業,2345,智邦,twse,2021-05-17
電子工業,2347,聯強,twse,2021-05-17
電子通路業,2347,聯強,twse,2021-05-17
其他,2348,海悅,twse,2021-05-17
光電業,2349,錸德,twse,2021-05-17
電子工業,2349,錸德,twse,2021-05-17
其他電子業,2350,環電,twse,2021-05-17
電子工業,2350,環電,twse,2021-05-17
半導體業,2351,順德,twse,2021-05-17
電子工業,2351,順德,twse,2021-05-17
電子工業,2352,佳世達,twse,2021-05-17
電腦及週邊設備業,2352,佳世達,twse,2021-05-17
電子工業,2353,宏碁,twse,2021-05-17
電腦及週邊設備業,2353,宏碁,twse,2021-05-17
其他電子業,2354,鴻準,twse,2021-05-17
電子工業,2354,鴻準,twse,2021-05-17
電子工業,2355,敬鵬,twse,2021-05-17
電子零組件業,2355,敬鵬,twse,2021-05-17
電子工業,2356,英業達,twse,2021-05-17
電腦及週邊設備業,2356,英業達,twse,2021-05-17
電子工業,2357,華碩,twse,2021-05-17
電腦及週邊設備業,2357,華碩,twse,2021-05-17
其他,2358,廷鑫,twse,2021-05-17
其他電子業,2359,所羅門,twse,2021-05-17
電子工業,2359,所羅門,twse,2021-05-17
其他電子業,2360,致茂,twse,2021-05-17
電子工業,2360,致茂,twse,2021-05-17
電子工業,2361,鴻友,twse,2021-05-17
電腦及週邊設備業,2361,鴻友,twse,2021-05-17
電子工業,2362,藍天,twse,2021-05-17
電腦及週邊設備業,2362,藍天,twse,2021-05-17
半導體業,2363,矽統,twse,2021-05-17
電子工業,2363,矽統,twse,2021-05-17
電子工業,2364,倫飛,twse,2021-05-17
電腦及週邊設備業,2364,倫飛,twse,2021-05-17
電子工業,2365,昆盈,twse,2021-05-17
電腦及週邊設備業,2365,昆盈,twse,2021-05-17
電子工業,2367,燿華,twse,2021-05-17
電子零組件業,2367,燿華,twse,2021-05-17
電子工業,2368,金像電,twse,2021-05-17
電子零組件業,2368,金像電,twse,2021-05-17
半導體業,2369,菱生,twse,2021-05-17
電子工業,2369,菱生,twse,2021-05-17
電機機械,2371,大同,twse,2021-05-17
其他電子業,2373,震旦行,twse,2021-05-17
電子工業,2373,震旦行,twse,2021-05-17
光電業,2374,佳能,twse,2021-05-17
電子工業,2374,佳能,twse,2021-05-17
電子工業,2375,凱美,twse,2021-05-17
電子零組件業,2375,凱美,twse,2021-05-17
電子工業,2376,技嘉,twse,2021-05-17
電腦及週邊設備業,2376,技嘉,twse,2021-05-17
電子工業,2377,微星,twse,2021-05-17
電腦及週邊設備業,2377,微星,twse,2021-05-17
半導體業,2379,瑞昱,twse,2021-05-17
電子工業,2379,瑞昱,twse,2021-05-17
電子工業,2380,虹光,twse,2021-05-17
電腦及週邊設備業,2380,虹光,twse,2021-05-17
電子工業,2381,華宇,twse,2021-05-17
電腦及週邊設備業,2381,華宇,twse,2021-05-17
電子工業,2382,廣達,twse,2021-05-17
電腦及週邊設備業,2382,廣達,twse,2021-05-17
電子工業,2383,台光電,twse,2021-05-17
電子零組件業,2383,台光電,twse,2021-05-17
光電業,2384,勝華,twse,2021-05-17
電子工業,2384,勝華,twse,2021-05-17
電子工業,2385,群光,twse,2021-05-17
電子零組件業,2385,群光,twse,2021-05-17
電子工業,2387,精元,twse,2021-05-17
電腦及週邊設備業,2387,精元,twse,2021-05-17
半導體業,2388,威盛,twse,2021-05-17
電子工業,2388,威盛,twse,2021-05-17
其他電子業,2390,云辰,twse,2021-05-17
電子工業,2390,云辰,twse,2021-05-17
通信網路業,2391,合勤,twse,2021-05-17
電子工業,2391,合勤,twse,2021-05-17
電子工業,2392,正崴,twse,2021-05-17
電子零組件業,2392,正崴,twse,2021-05-17
光電業,2393,億光,twse,2021-05-17
電子工業,2393,億光,twse,2021-05-17
電子工業,2395,研華,twse,2021-05-17
電腦及週邊設備業,2395,研華,twse,2021-05-17
光電業,2396,精碟,twse,2021-05-17
電子工業,2396,精碟,twse,2021-05-17
電子工業,2397,友通,twse,2021-05-17
電腦及週邊設備業,2397,友通,twse,2021-05-17
電子工業,2399,映泰,twse,2021-05-17
電腦及週邊設備業,2399,映泰,twse,2021-05-17
半導體業,2401,凌陽,twse,2021-05-17
電子工業,2401,凌陽,twse,2021-05-17
電子工業,2402,毅嘉,twse,2021-05-17
電子零組件業,2402,毅嘉,twse,2021-05-17
電子工業,2403,友尚,twse,2021-05-17
電子通路業,2403,友尚,twse,2021-05-17
其他電子業,2404,漢唐,twse,2021-05-17
電子工業,2404,漢唐,twse,2021-05-17
電子工業,2405,浩鑫,twse,2021-05-17
電腦及週邊設備業,2405,浩鑫,twse,2021-05-17
光電業,2406,國碩,twse,2021-05-17
電子工業,2406,國碩,twse,2021-05-17
半導體業,2408,南亞科,twse,2021-05-17
電子工業,2408,南亞科,twse,2021-05-17
光電業,2409,友達,twse,2021-05-17
電子工業,2409,友達,twse,2021-05-17
其他電子業,2411,飛瑞,twse,2021-05-17
電子工業,2411,飛瑞,twse,2021-05-17
通信網路業,2412,中華電,twse,2021-05-17
電子工業,2412,中華電,twse,2021-05-17
電子工業,2413,環科,twse,2021-05-17
電子零組件業,2413,環科,twse,2021-05-17
電子工業,2414,精技,twse,2021-05-17
電子通路業,2414,精技,twse,2021-05-17
電子工業,2415,錩新,twse,2021-05-17
電子零組件業,2415,錩新,twse,2021-05-17
電子工業,2417,圓剛,twse,2021-05-17
電腦及週邊設備業,2417,圓剛,twse,2021-05-17
電子工業,2418,雅新,twse,2021-05-17
通信網路業,2419,仲琦,twse,2021-05-17
電子工業,2419,仲琦,twse,2021-05-17
電子工業,2420,新巨,twse,2021-05-17
電子零組件業,2420,新巨,twse,2021-05-17
電子工業,2421,建準,twse,2021-05-17
電子零組件業,2421,建準,twse,2021-05-17
其他電子業,2423,固緯,twse,2021-05-17
電子工業,2423,固緯,twse,2021-05-17
電子工業,2424,隴華,twse,2021-05-17
電腦及週邊設備業,2424,隴華,twse,2021-05-17
電子工業,2425,承啟,twse,2021-05-17
電腦及週邊設備業,2425,承啟,twse,2021-05-17
光電業,2426,鼎元,twse,2021-05-17
電子工業,2426,鼎元,twse,2021-05-17
資訊服務業,2427,三商電,twse,2021-05-17
電子工業,2427,三商電,twse,2021-05-17
電子工業,2428,興勤,twse,2021-05-17
電子零組件業,2428,興勤,twse,2021-05-17
電子工業,2429,銘旺科,twse,2021-05-17
電子零組件業,2429,銘旺科,twse,2021-05-17
電子工業,2430,燦坤,twse,2021-05-17
電子通路業,2430,燦坤,twse,2021-05-17
電子工業,2431,聯昌,twse,2021-05-17
電子零組件業,2431,聯昌,twse,2021-05-17
通信網路業,2432,倚天,twse,2021-05-17
電子工業,2432,倚天,twse,2021-05-17
其他電子業,2433,互盛電,twse,2021-05-17
電子工業,2433,互盛電,twse,2021-05-17
半導體業,2434,統懋,twse,2021-05-17
電子工業,2434,統懋,twse,2021-05-17
半導體業,2436,偉詮電,twse,2021-05-17
電子工業,2436,偉詮電,twse,2021-05-17
電子工業,2437,旺詮,twse,2021-05-17
電子零組件業,2437,旺詮,twse,2021-05-17
光電業,2438,翔耀,twse,2021-05-17
電子工業,2438,翔耀,twse,2021-05-17
通信網路業,2439,美律,twse,2021-05-17
電子工業,2439,美律,twse,2021-05-17
電子工業,2440,太空梭,twse,2021-05-17
電子零組件業,2440,太空梭,twse,2021-05-17
半導體業,2441,超豐,twse,2021-05-17
電子工業,2441,超豐,twse,2021-05-17
電子工業,2442,新美齊,twse,2021-05-17
電腦及週邊設備業,2442,新美齊,twse,2021-05-17
其他,2443,億麗,twse,2021-05-17
通信網路業,2444,兆勁,twse,2021-05-17
電子工業,2444,兆勁,twse,2021-05-17
半導體業,2446,全懋,twse,2021-05-17
電子工業,2446,全懋,twse,2021-05-17
資訊服務業,2447,鼎新,twse,2021-05-17
電子工業,2447,鼎新,twse,2021-05-17
光電業,2448,晶電,twse,2021-05-17
電子工業,2448,晶電,twse,2021-05-17
半導體業,2449,京元電子,twse,2021-05-17
電子工業,2449,京元電子,twse,2021-05-17
通信網路業,2450,神腦,twse,2021-05-17
電子工業,2450,神腦,twse,2021-05-17
半導體業,2451,創見,twse,2021-05-17
電子工業,2451,創見,twse,2021-05-17
電子工業,2452,乾坤,twse,2021-05-17
電子零組件業,2452,乾坤,twse,2021-05-17
資訊服務業,2453,凌群,twse,2021-05-17
電子工業,2453,凌群,twse,2021-05-17
半導體業,2454,聯發科,twse,2021-05-17
電子工業,2454,聯發科,twse,2021-05-17
通信網路業,2455,全新,twse,2021-05-17
電子工業,2455,全新,twse,2021-05-17
電子工業,2456,奇力新,twse,2021-05-17
電子零組件業,2456,奇力新,twse,2021-05-17
電子工業,2457,飛宏,twse,2021-05-17
電子零組件業,2457,飛宏,twse,2021-05-17
半導體業,2458,義隆,twse,2021-05-17
電子工業,2458,義隆,twse,2021-05-17
電子工業,2459,敦吉,twse,2021-05-17
電子通路業,2459,敦吉,twse,2021-05-17
電子工業,2460,建通,twse,2021-05-17
電子零組件業,2460,建通,twse,2021-05-17
其他電子業,2461,光群雷,twse,2021-05-17
電子工業,2461,光群雷,twse,2021-05-17
電子工業,2462,良得電,twse,2021-05-17
電子零組件業,2462,良得電,twse,2021-05-17
電子工業,2463,研揚,twse,2021-05-17
電腦及週邊設備業,2463,研揚,twse,2021-05-17
其他電子業,2464,盟立,twse,2021-05-17
電子工業,2464,盟立,twse,2021-05-17
電子工業,2465,麗臺,twse,2021-05-17
電腦及週邊設備業,2465,麗臺,twse,2021-05-17
光電業,2466,冠西電,twse,2021-05-17
電子工業,2466,冠西電,twse,2021-05-17
電子工業,2467,志聖,twse,2021-05-17
電子零組件業,2467,志聖,twse,2021-05-17
資訊服務業,2468,華經,twse,2021-05-17
電子工業,2468,華經,twse,2021-05-17
電子工業,2469,力信,twse,2021-05-17
電子零組件業,2469,力信,twse,2021-05-17
資訊服務業,2471,資通,twse,2021-05-17
電子工業,2471,資通,twse,2021-05-17
電子工業,2472,立隆電,twse,2021-05-17
電子零組件業,2472,立隆電,twse,2021-05-17
半導體業,2473,思源,twse,2021-05-17
電子工業,2473,思源,twse,2021-05-17
其他電子業,2474,可成,twse,2021-05-17
電子工業,2474,可成,twse,2021-05-17
光電業,2475,華映,twse,2021-05-17
電子工業,2475,華映,twse,2021-05-17
電子工業,2476,鉅祥,twse,2021-05-17
電子零組件業,2476,鉅祥,twse,2021-05-17
其他電子業,2477,美隆電,twse,2021-05-17
電子工業,2477,美隆電,twse,2021-05-17
電子工業,2478,大毅,twse,2021-05-17
電子零組件業,2478,大毅,twse,2021-05-17
電子工業,2479,和立,twse,2021-05-17
資訊服務業,2480,敦陽科,twse,2021-05-17
電子工業,2480,敦陽科,twse,2021-05-17
半導體業,2481,強茂,twse,2021-05-17
電子工業,2481,強茂,twse,2021-05-17
其他電子業,2482,連宇,twse,2021-05-17
電子工業,2482,連宇,twse,2021-05-17
電子工業,2483,百容,twse,2021-05-17
電子零組件業,2483,百容,twse,2021-05-17
電子工業,2484,希華,twse,2021-05-17
電子零組件業,2484,希華,twse,2021-05-17
通信網路業,2485,兆赫,twse,2021-05-17
電子工業,2485,兆赫,twse,2021-05-17
光電業,2486,一詮,twse,2021-05-17
電子工業,2486,一詮,twse,2021-05-17
其他電子業,2488,漢平,twse,2021-05-17
電子工業,2488,漢平,twse,2021-05-17
光電業,2489,瑞軒,twse,2021-05-17
電子工業,2489,瑞軒,twse,2021-05-17
光電業,2491,吉祥全,twse,2021-05-17
電子工業,2491,吉祥全,twse,2021-05-17
電子工業,2492,華新科,twse,2021-05-17
電子零組件業,2492,華新科,twse,2021-05-17
電子工業,2493,揚博,twse,2021-05-17
電子零組件業,2493,揚博,twse,2021-05-17
通信網路業,2494,廣業科,twse,2021-05-17
電子工業,2494,廣業科,twse,2021-05-17
其他電子業,2495,普安,twse,2021-05-17
電子工業,2495,普安,twse,2021-05-17
其他,2496,卓越,twse,2021-05-17
汽車工業,2497,怡利電,twse,2021-05-17
通信網路業,2498,宏達電,twse,2021-05-17
電子工業,2498,宏達電,twse,2021-05-17
光電業,2499,東貝,twse,2021-05-17
電子工業,2499,東貝,twse,2021-05-17
建材營造,2501,國建,twse,2021-05-17
建材營造,2504,國產,twse,2021-05-17
建材營造,2505,國揚,twse,2021-05-17
建材營造,2506,太設,twse,2021-05-17
建材營造,2509,全坤建,twse,2021-05-17
建材營造,2511,太子,twse,2021-05-17
其他,2514,龍邦,twse,2021-05-17
建材營造,2515,中工,twse,2021-05-17
建材營造,2516,新建,twse,2021-05-17
建材營造,2520,冠德,twse,2021-05-17
建材營造,2524,京城,twse,2021-05-17
建材營造,2526,大陸,twse,2021-05-17
建材營造,2527,宏璟,twse,2021-05-17
建材營造,2528,皇普,twse,2021-05-17
建材營造,2530,華建,twse,2021-05-17
建材營造,2534,宏盛,twse,2021-05-17
建材營造,2535,達欣工,twse,2021-05-17
建材營造,2536,宏普,twse,2021-05-17
建材營造,2537,聯上發,twse,2021-05-17
建材營造,2538,基泰,twse,2021-05-17
建材營造,2539,櫻花建,twse,2021-05-17
建材營造,2540,愛山林,twse,2021-05-17
建材營造,2542,興富發,twse,2021-05-17
建材營造,2543,皇昌,twse,2021-05-17
建材營造,2545,皇翔,twse,2021-05-17
建材營造,2546,根基,twse,2021-05-17
建材營造,2547,日勝生,twse,2021-05-17
建材營造,2548,華固,twse,2021-05-17
建材營造,2596,綠意,tpex,2021-05-17
建材營造,2597,潤弘,twse,2021-05-17
貿易百貨,2601,益航,twse,2021-05-17
航運業,2603,長榮,twse,2021-05-17
航運業,2605,新興,twse,2021-05-17
航運業,2606,裕民,twse,2021-05-17
航運業,2607,榮運,twse,2021-05-17
航運業,2608,嘉里大榮,twse,2021-05-17
航運業,2609,陽明,twse,2021-05-17
航運業,2610,華航,twse,2021-05-17
航運業,2611,志信,twse,2021-05-17
航運業,2612,中航,twse,2021-05-17
航運業,2613,中櫃,twse,2021-05-17
貿易百貨,2614,東森,twse,2021-05-17
航運業,2615,萬海,twse,2021-05-17
油電燃氣業,2616,山隆,twse,2021-05-17
航運業,2617,台航,twse,2021-05-17
航運業,2618,長榮航,twse,2021-05-17
航運業,2630,亞航,twse,2021-05-17
航運業,2633,台灣高鐵,twse,2021-05-17
航運業,2634,漢翔,twse,2021-05-17
航運業,2636,台驊投控,twse,2021-05-17
航運業,2637,慧洋-KY,twse,2021-05-17
其他,2640,大車隊,tpex,2021-05-17
航運業,2641,正德,tpex,2021-05-17
航運業,2642,宅配通,twse,2021-05-17
航運業,2643,捷迅,tpex,2021-05-17
觀光事業,2701,萬企,twse,2021-05-17
觀光事業,2702,華園,twse,2021-05-17
觀光事業,2704,國賓,twse,2021-05-17
觀光事業,2705,六福,twse,2021-05-17
觀光事業,2706,第一店,twse,2021-05-17
觀光事業,2707,晶華,twse,2021-05-17
觀光事業,2712,遠雄來,twse,2021-05-17
觀光事業,2718,晶悅,tpex,2021-05-17
觀光事業,2719,燦星旅,tpex,2021-05-17
觀光事業,2722,夏都,twse,2021-05-17
觀光事業,2723,美食-KY,twse,2021-05-17
觀光事業,2724,富驛-KY,tpex,2021-05-17
觀光事業,2726,雅茗-KY,tpex,2021-05-17
觀光事業,2727,王品,twse,2021-05-17
觀光事業,2729,瓦城,tpex,2021-05-17
觀光事業,2731,雄獅,twse,2021-05-17
觀光事業,2732,六角,tpex,2021-05-17
觀光事業,2734,易飛網,tpex,2021-05-17
觀光事業,2736,高野,tpex,2021-05-17
觀光事業,2739,寒舍,twse,2021-05-17
觀光事業,2740,天蔥,tpex,2021-05-17
觀光事業,2743,山富,tpex,2021-05-17
觀光事業,2745,五福,tpex,2021-05-17
觀光事業,2748,雲品,twse,2021-05-17
觀光事業,2752,豆府,tpex,2021-05-17
觀光事業,2754,亞洲藏壽司,tpex,2021-05-17
觀光事業,2755,揚秦,tpex,2021-05-17
金融保險,2801,彰銀,twse,2021-05-17
金融保險,2807,竹商銀,twse,2021-05-17
金融保險,2809,京城銀,twse,2021-05-17
金融保險,2812,台中銀,twse,2021-05-17
金融保險,2816,旺旺保,twse,2021-05-17
金融保險,2820,華票,twse,2021-05-17
金融保險,2823,中壽,twse,2021-05-17
金融保險,2827,中聯,twse,2021-05-17
金融保險,2831,中華銀,twse,2021-05-17
金融保險,2832,台產,twse,2021-05-17
金融保險,2833,台壽保,twse,2021-05-17
金融保險,2833A,台壽甲,twse,2021-05-17
金融保險,2834,臺企銀,twse,2021-05-17
金融保險,2836,高雄銀,twse,2021-05-17
金融保險,2836A,高雄銀甲特,twse,2021-05-17
金融保險,2837,萬泰銀,twse,2021-05-17
金融保險,2838,聯邦銀,twse,2021-05-17
金融保險,2838A,聯邦銀甲特,twse,2021-05-17
建材營造,2841,台開,twse,2021-05-17
金融保險,2845,遠東銀,twse,2021-05-17
金融保險,2847,大眾銀,twse,2021-05-17
金融保險,2849,安泰銀,twse,2021-05-17
金融保險,2850,新產,twse,2021-05-17
金融保險,2851,中再保,twse,2021-05-17
金融保險,2852,第一保,twse,2021-05-17
金融保險,2854,寶來證,twse,2021-05-17
金融保險,2855,統一證,twse,2021-05-17
金融保險,2856,元富證,twse,2021-05-17
金融保險,2867,三商壽,twse,2021-05-17
金融保險,2880,華南金,twse,2021-05-17
金融保險,2881,富邦金,twse,2021-05-17
金融保險,2881A,富邦特,twse,2021-05-17
金融保險,2881B,富邦金乙特,twse,2021-05-17
金融保險,2882,國泰金,twse,2021-05-17
金融保險,2882A,國泰特,twse,2021-05-17
金融保險,2882B,國泰金乙特,twse,2021-05-17
金融保險,2883,開發金,twse,2021-05-17
金融保險,2883A,開發特,twse,2021-05-17
金融保險,2884,玉山金,twse,2021-05-17
金融保險,2885,元大金,twse,2021-05-17
金融保險,2886,兆豐金,twse,2021-05-17
金融保險,2887,台新金,twse,2021-05-17
金融保險,2887C,新丙特,twse,2021-05-17
金融保險,2887E,台新戊特,twse,2021-05-17
